year,annual_avg_aqi
2004,26.62853107344633
2005,21.602247191011237
2006,26.58823529411765
2007,24.569465648854962
2008,20.90981012658228
2009,24.787946428571427
2010,26.020833333333332
2011,20.38144329896907
2012,20.14008321775312
2013,19.58970588235294
2014,19.1418826739427
2015,14.830747531734838
2016,23.6608442503639
2017,20.443548387096776
2018,18.146978021978022
2019,19.33187134502924
2020,25.657258064516128
2021,24.176223776223775
2022,26.982930298719772
2023,19.941176470588236
