Fire Year,Predicted Smoke Estimates,Lower Estimate Bound,Upper Estimate Bound,Calculated Smoke Estimates
2001,37.28819038212055,28.489865933003298,46.08651483123779,14.92428414127703
2002,38.244028762399466,29.211353728215386,47.27670379658355,47.01112904884236
2003,39.199867142678386,29.91623671323247,48.48349757212431,33.44190634210727
2004,40.15570552295708,30.60582384075704,49.705587205157116,17.35208930027759
2005,41.111543903236,31.281357900233346,50.94172990623865,182.8342782792417
2006,42.06738228351469,31.94400616290342,52.19075840412596,105.419900083721
2007,43.02322066379361,32.59485541217246,53.45158591541476,58.50253355176318
2008,43.97905904407253,33.23491040031297,54.72320768783209,22.605069494961757
2009,44.93489742435122,33.86509485821188,56.00469999049056,19.159348998726585
2010,45.89073580463014,34.48625431078162,57.29521729847866,11.612837942377162
2011,46.84657418490883,35.099160088611484,58.59398828120618,34.979501419328066
2012,47.80241256518775,35.70451405873789,59.90031107163761,50.72804319592688
2013,48.75825094546644,36.30295371453046,61.213548176402426,116.25773932571086
2014,49.71408932574536,36.89505736285186,62.53312128863887,15.078296371468266
2015,50.66992770602428,37.48134922551576,63.85850618653281,23.792261472254697
2016,51.625766086302974,38.06230433336158,65.18922783924437,28.318917847771605
2017,52.581604466581894,38.638353137476514,66.52485579568727,54.58430989895128
2018,53.537442846860586,39.209885795994666,67.8649998977265,39.886883523704384
2019,54.493281227139505,39.77725611907583,69.20930633520318,14.766961024384887
2020,55.449119607418424,40.340785171332264,70.55745404350459,114.25813801102927
2021,56.40495798769712,-3.898592211005024,116.70850818639926,
2022,57.360796367976036,-3.0466061755128067,117.76819891146488,
2023,58.31663474825473,-2.1978946480063044,118.83116414451575,
2024,59.27247312853365,-1.3524402698944158,119.89738652696171,
2025,60.22831150881257,-0.5102252829063119,120.96684830053144,
2026,61.18414988909126,0.32876845780617714,122.03953132037634,
2027,62.13998826937018,1.164559470455366,123.11541706828498,
2028,63.09582664964887,1.9971666333114655,124.19448666598628,
2029,64.05166502992779,2.8266091713287906,125.2767208885268,
2030,65.00750341020648,3.6529066427166654,126.3621001776963,
2031,65.9633417904854,4.476078925481396,127.4506046554894,
2032,66.91918017076432,5.296146203950812,128.54221413757784,
2033,67.87501855104301,6.113128955305022,129.636908146781,
2034,68.83085693132193,6.927047936129014,130.73466592651485,
2035,69.78669531160062,7.737924169001417,131.83546645419983,
2036,70.74253369187954,8.545778929142138,132.93928845461696,
2037,71.69837207215846,9.350633731127438,134.0461104131895,
2038,72.65421045243716,10.15251031569396,135.15591058918034,
2039,73.61004883271607,10.951430636643614,136.26866702878854,
2040,74.56588721299477,11.747416847861501,137.38435757812803,
2041,75.52172559327369,12.540491290465738,138.50295989608162,
2042,76.47756397355238,13.330676480094851,139.62445146700992,
2043,77.4334023538313,14.117995094352217,140.74880961331039,
2044,78.38924073411022,14.902469960411743,141.8760115078087,
2045,79.34507911438891,15.684124042801308,143.00603418597652,
2046,80.30091749466783,16.46298043137152,144.13885455796412,
2047,81.25675587494652,17.23906232945717,145.27444942043587,
2048,82.21259425522544,18.012393042245407,146.41279546820547,
2049,83.16843263550436,18.78299596535217,147.55386930565655,
